LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
491;249190820;KOSZARAWA;So≥a;49 40 20;19 24 50;671
492;249190830;KOåCIELISKO-KIRY;Kirowa Woda;49 16 40;19 52 15;933
493;249190840;RAJCZA;So≥a;49 30 29;19 06 55;505
494;252150180;LUBINICKO-åWIEBODZIN;Obrzyca;52 14 34;15 32 43;88
495;252190160;WALEWICE;Bzura;52 06 10;19 39 56;95
496;253230180;DRAHLE;Soko≥da;53 23 08;23 33 18;162
497;253150250;DRAWNO;Drawa;53 12 47;15 46 12;76
498;251180330;DZIA£OSZYN;Warta;51 07 12;18 52 26;191
499;251180310;KIE£CZYG£”W;Nieciecz;51 14 14;18 59 06;175
500;251180320;KRASZEWICE;£uøyca;51 31 49;18 12 17;131
501;252170330;NOWA WIEå PODG”RNA;Warta;52 08 32;17 35 21;73
502;251170360;OSTR”W WIELKOPOLSKI;O≥obok;51 39 39;17 52 24;123
503;251190210;SZCZERC”W;Widawka;51 20 27;19 07 09;160
504;252180290;TULISZK”W;Powa;52 04 04;18 16 07;111
505;250150510;MIRSK;Czarny Potok;50 59 13;15 23 00;338
506;253150190;PRZELEWICE;P≥onia;53 06 15;15 04 56;65
507;252170190;S£UPCA;Warta;52 16 19;17 53 00;85
508;250160360;TARN”W;BudzÛwka;50 34 31;16 47 34;296
509;254190190;ELBL•G;Elblπg;54 09 43;19 25 53;39
510;250230170;J DRZEJ”WKA;Tanew;50 19 47;23 20 34;285
511;253190310;KULIGI;Wel;53 25 51;19 41 28;98
512;249190810;KALWARIA ZEBRZYDOWSKA;Skawinka;49 52 12;19 41 07;312
513;253160090;WIERZCHOWO;Drawa;53 27 36;16 06 16;137
514;251210120;PU£AWY;Wis≥a;51 24 46;21 57 58;142
515;252230250;ZAMOSZE;Narew;52 48 55;23 54 46;157
516;251160320;RADZY—;Obrzyca;51 52 21;16 02 16;60
517;250210040;NOWA S£UPIA;Pokrzywianka;50 51 51;21 05 00;290
518;253220330;MARIANOWO II;Narew;53 12 43;22 06 21;138
519;251190190;£ASK;Grabia;51 35 08;19 10 43;170
520;252180310;RADOSZEWICE;NoteÊ;52 21 43;18 42 22;110
521;249180410;ISTEBNA-WIEå;Olza;49 34 08;18 53 32;578
522;251230120;BEZEK;Wieprz;51 10 38;23 15 49;224
523;253210350;TYSZKI-W•DO£OWO;Skroda;53 26 52;21 59 03;152
524;251190230;JAROSTY;Luciπøa;51 27 45;19 41 31;197
525;254190230;ROGITY;Pas≥Íka;54 23 21;19 51 41;8
526;250190520;TYCHY;Gostynia;50 07 55;19 00 04;255
527;249200920;PIWNICZNA;Poprad;49 25 30;20 43 23;380
528;250200360;D•BROWA TARNOWSKA;BreÒ;50 11 10;20 59 28;197
529;254170040;KARØNICZKA;£upawa;54 29 15;17 13 43;75
530;252200120;LEGIONOWO;Wis≥a;52 24 28;20 57 22;94
531;252190030;G£ODOWO;MieÒ;52 49 50;19 14 08;100
532;252230190;CICIB”R;Krzna;52 04 37;23 06 34;144
533;249180390;BRENNA-LEåNICA;Leúnica;49 42 36;18 54 11;426
534;250180330;£AB DY;K≥odnica;50 20 31;18 36 55;208
535;254180090;GDA—SK-R BIECHOWO;;54 22 16;18 29 12;149
536;250180580;DRONIOWICE;Liswarta;50 41 43;18 48 29;270
537;251180350;SIERADZ-DZIGORZEW;Warta;51 37 27;18 42 17;128
538;249190890;RADZIECHOWY;So≥a;49 38 55;19 09 20;395
539;249180520;RUDZICA;I≥ownica;49 51 14;18 52 51;345
540;249180530;ISTEBNA-STEC”WKA;Olza;49 35 05;18 56 16;725
541;249200960;NOWY TARG-KOWANIEC;Dunajec;49 29 11;20 03 18;590
542;251140110;SANICE;Nysa £uøycka;51 24 24;14 58 32;150
543;251170380;WOLA KSI•Ø CA;Lutynia;51 57 41;17 35 21;118
544;252200150;WARSZAWA-BIELANY;Wis≥a;52 16 53;20 57 48;98
545;252230230;NAREW;Narew;52 55 00;23 31 22;134
546;252230240;NAREWKA;Narewka;52 51 49;23 43 30;143
