year,month,voivodeship,temperature,humidity
2018,07,mazowieckie,22.96451612903226,73.80645161290323
2018,08,mazowieckie,22.066666666666666,73.9
2018,09,mazowieckie,14.203333333333335,85.53333333333333
2018,10,mazowieckie,6.503225806451613,87.7741935483871
2018,11,mazowieckie,2.0566666666666666,91.3
2018,12,mazowieckie,1.9129032258064516,90.6774193548387
2019,01,mazowieckie,-1.1133333333333333,89.9
2019,02,mazowieckie,-0.7821428571428571,88.28571428571429
2019,03,mazowieckie,4.032258064516129,86.0
2019,04,mazowieckie,9.476666666666667,71.56666666666666
2019,07,mazowieckie,19.57741935483871,73.80645161290323
2019,08,mazowieckie,19.97241379310345,80.6896551724138
2019,09,mazowieckie,12.913333333333332,88.1
2019,10,mazowieckie,6.996774193548387,91.19354838709677
2019,11,mazowieckie,4.468965517241379,90.03448275862068
2019,12,mazowieckie,1.25,85.5
2020,01,mazowieckie,0.7483870967741937,89.0
2020,02,mazowieckie,3.3000000000000003,83.24137931034483
2020,03,mazowieckie,1.7733333333333334,80.86666666666666
2020,04,mazowieckie,9.503333333333334,65.83333333333333
2020,05,mazowieckie,12.116129032258065,76.74193548387096
2020,06,mazowieckie,18.423333333333336,83.43333333333334
2020,07,mazowieckie,19.266666666666666,76.26666666666667
2020,08,mazowieckie,19.79032258064516,79.7741935483871
2020,09,mazowieckie,13.03,92.83333333333333
2020,10,mazowieckie,8.438709677419356,91.58064516129032
2020,11,mazowieckie,3.8433333333333333,91.36666666666666
2020,12,mazowieckie,0.6161290322580646,88.90322580645162
2021,01,mazowieckie,-1.4806451612903226,89.45161290322581
2021,02,mazowieckie,-4.246428571428572,87.32142857142857
2021,03,mazowieckie,1.1451612903225807,86.2258064516129
2021,04,mazowieckie,6.15,78.06666666666666
2021,05,mazowieckie,13.832258064516129,77.16129032258064
2021,06,mazowieckie,23.596666666666668,69.4
2021,07,mazowieckie,21.470967741935485,81.83870967741936
2021,08,mazowieckie,17.774193548387096,84.64516129032258
2021,09,mazowieckie,13.873333333333333,88.03333333333333
2021,10,mazowieckie,5.270967741935484,90.2258064516129
2021,11,mazowieckie,3.55,92.26666666666667
2021,12,mazowieckie,-1.3548387096774193,91.45161290322581
2022,01,mazowieckie,0.5838709677419355,90.0
2022,02,mazowieckie,1.7464285714285714,85.75
2022,03,mazowieckie,-1.025806451612903,79.0
2022,04,mazowieckie,7.16,77.83333333333333
2022,05,mazowieckie,15.348387096774195,71.19354838709677
2022,06,mazowieckie,20.490000000000002,72.16666666666667
2022,07,mazowieckie,20.60967741935484,67.3225806451613
2022,08,mazowieckie,20.835483870967742,79.54838709677419
2022,09,mazowieckie,11.889999999999999,88.33333333333333
2022,10,mazowieckie,7.196774193548387,94.2258064516129
2022,11,mazowieckie,1.6733333333333331,92.66666666666667
2022,12,mazowieckie,-0.02903225806451617,88.19354838709677
2018,01,łódzkie,-1.2967741935483872,89.09677419354838
2018,02,łódzkie,-4.764285714285714,86.75
2018,03,łódzkie,-1.74,83.46666666666667
2018,04,łódzkie,12.1,79.89655172413794
2018,05,łódzkie,18.516666666666666,75.23333333333333
2018,06,łódzkie,19.946666666666665,76.9
2018,07,łódzkie,20.85,79.86666666666666
2018,08,łódzkie,21.43548387096774,84.12903225806451
2018,09,łódzkie,13.639999999999999,90.06666666666666
2018,10,łódzkie,6.254838709677419,91.96774193548387
2018,11,łódzkie,1.5933333333333335,92.03333333333333
2018,12,łódzkie,-0.012903225806451639,91.61290322580645
2019,01,łódzkie,-3.103448275862069,89.03448275862068
2019,02,łódzkie,-0.42857142857142855,86.53571428571429
2019,03,łódzkie,3.513793103448276,84.17241379310344
2019,04,łódzkie,9.033333333333333,70.8
2019,07,łódzkie,19.741935483870968,72.45161290322581
2019,08,łódzkie,20.217857142857145,81.42857142857143
2019,09,łódzkie,13.441379310344828,87.03448275862068
2019,10,łódzkie,7.08,93.0
2019,11,łódzkie,3.2413793103448274,92.86206896551724
2019,12,łódzkie,1.0172413793103448,88.20689655172414
2020,01,łódzkie,-0.07096774193548383,89.74193548387096
2020,02,łódzkie,1.7758620689655173,86.17241379310344
2020,03,łódzkie,2.229032258064516,80.74193548387096
2020,04,łódzkie,8.32,66.5
2020,05,łódzkie,11.158064516129032,78.3225806451613
2020,06,łódzkie,18.39333333333333,84.4
2020,07,łódzkie,18.919354838709676,79.12903225806451
2020,08,łódzkie,19.53548387096774,81.16129032258064
2020,09,łódzkie,13.396666666666667,92.5
2020,10,łódzkie,8.5,92.90322580645162
2020,11,łódzkie,3.4766666666666666,92.66666666666667
2020,12,łódzkie,0.6129032258064516,90.93548387096774
2021,01,łódzkie,-2.761290322580645,91.54838709677419
2021,02,łódzkie,-4.882142857142858,90.21428571428571
2021,03,łódzkie,0.9483870967741935,86.6774193548387
2021,04,łódzkie,5.2,82.76666666666667
2021,05,łódzkie,12.596774193548388,77.6774193548387
2021,06,łódzkie,21.40666666666667,75.1
2021,07,łódzkie,21.351612903225806,83.48387096774194
2021,08,łódzkie,16.24516129032258,90.87096774193549
2021,09,łódzkie,12.383333333333333,93.83333333333333
2021,10,łódzkie,5.380645161290323,91.74193548387096
2021,11,łódzkie,2.73,93.86666666666666
2021,12,łódzkie,-2.196774193548387,91.54838709677419
2022,01,łódzkie,-0.6419354838709678,91.25806451612904
2022,02,łódzkie,0.875,87.07142857142857
2022,03,łódzkie,0.6096774193548388,82.54838709677419
2022,04,łódzkie,6.586666666666667,86.06666666666666
2022,05,łódzkie,15.012903225806452,71.29032258064517
2022,06,łódzkie,19.933333333333334,76.66666666666667
2022,07,łódzkie,20.703225806451613,70.3225806451613
2022,08,łódzkie,20.461290322580645,86.16129032258064
2022,09,łódzkie,11.053333333333335,90.13333333333334
2022,10,łódzkie,7.77741935483871,93.45161290322581
2022,11,łódzkie,1.82,94.6
2022,12,łódzkie,-0.8161290322580645,89.80645161290323
2018,01,lubelskie,-1.6548387096774193,88.96774193548387
2018,02,lubelskie,-5.610714285714286,89.78571428571429
2018,03,lubelskie,-3.006666666666667,83.93333333333334
2018,04,lubelskie,13.33,74.9
2018,05,lubelskie,17.84193548387097,70.38709677419355
2018,06,lubelskie,19.675862068965518,72.44827586206897
2018,07,lubelskie,20.835483870967742,78.45161290322581
2018,08,lubelskie,21.154838709677417,79.61290322580645
2018,09,lubelskie,14.623333333333333,86.03333333333333
2018,10,lubelskie,7.148387096774194,88.41935483870968
2018,11,lubelskie,1.13,93.26666666666667
2018,12,lubelskie,-0.864516129032258,92.83870967741936
2019,01,lubelskie,-4.6033333333333335,89.76666666666667
2019,02,lubelskie,-0.4607142857142857,85.96428571428571
2019,03,lubelskie,3.4451612903225803,82.51612903225806
2019,04,lubelskie,9.74642857142857,68.0
2019,07,lubelskie,21.086666666666666,73.23333333333333
2019,08,lubelskie,19.207142857142856,86.85714285714286
2019,09,lubelskie,14.183333333333334,88.46666666666667
2019,10,lubelskie,6.376923076923077,95.38461538461539
2019,11,lubelskie,4.4818181818181815,95.0909090909091
2019,12,lubelskie,0.3193548387096775,90.41935483870968
2020,01,lubelskie,-0.6806451612903226,91.58064516129032
2020,02,lubelskie,0.4407407407407407,89.0
2020,03,lubelskie,2.7870967741935484,76.45161290322581
2020,04,lubelskie,10.729999999999999,58.233333333333334
2020,05,lubelskie,12.912903225806453,78.83870967741936
2020,06,lubelskie,19.373333333333335,86.8
2020,07,lubelskie,20.419354838709676,78.80645161290323
2020,08,lubelskie,22.061290322580643,78.12903225806451
2020,09,lubelskie,15.003333333333332,91.96666666666667
2020,10,lubelskie,8.48709677419355,94.45161290322581
2020,11,lubelskie,3.15,93.43333333333334
2020,12,lubelskie,0.06129032258064519,92.96774193548387
2021,01,lubelskie,-3.2516129032258063,92.09677419354838
2021,02,lubelskie,-6.114814814814815,90.4074074074074
2021,03,lubelskie,1.396774193548387,86.93548387096774
2021,04,lubelskie,6.5,79.93333333333334
2021,05,lubelskie,13.803225806451612,77.70967741935483
2021,06,lubelskie,22.64,71.46666666666667
2021,07,lubelskie,23.629032258064516,79.64516129032258
2021,08,lubelskie,17.793548387096774,88.29032258064517
2021,09,lubelskie,13.0,90.4
2021,10,lubelskie,5.948387096774193,84.25806451612904
2021,11,lubelskie,2.3699999999999997,91.5
2021,12,lubelskie,-2.5354838709677416,89.70967741935483
2022,01,lubelskie,-1.564516129032258,87.90322580645162
2022,02,lubelskie,-0.11785714285714284,86.10714285714286
2022,03,lubelskie,1.2967741935483872,77.19354838709677
2022,04,lubelskie,6.883333333333334,83.7
2022,05,lubelskie,15.141935483870967,71.29032258064517
2022,06,lubelskie,20.326666666666664,73.9
2022,07,lubelskie,19.46451612903226,76.29032258064517
