year,month,voivodeship,incidents
2022,07,opolskie,810
2022,08,opolskie,874
2022,09,opolskie,826
2022,10,opolskie,848
2022,11,opolskie,749
2022,12,opolskie,918
2022,01,podkarpackie,1246
2022,02,podkarpackie,1015
2022,03,podkarpackie,1332
2022,04,podkarpackie,1291
2022,05,podkarpackie,1532
2022,06,podkarpackie,1437
2022,07,podkarpackie,1290
2022,08,podkarpackie,1345
2022,09,podkarpackie,1330
2022,10,podkarpackie,1427
2022,11,podkarpackie,1259
2022,12,podkarpackie,1324
2022,01,podlaskie,919
2022,02,podlaskie,822
2022,03,podlaskie,871
2022,04,podlaskie,935
2022,05,podlaskie,1033
2022,06,podlaskie,1012
2022,07,podlaskie,963
2022,08,podlaskie,1013
2022,09,podlaskie,947
2022,10,podlaskie,910
2022,11,podlaskie,941
2022,12,podlaskie,1047
2022,01,pomorskie,1857
2022,02,pomorskie,1709
2022,03,pomorskie,1868
2022,04,pomorskie,1939
2022,05,pomorskie,1948
2022,06,pomorskie,2200
2022,07,pomorskie,2275
2022,08,pomorskie,2248
2022,09,pomorskie,1998
2022,10,pomorskie,1888
2022,11,pomorskie,1818
2022,12,pomorskie,1929
2022,01,warmińsko-mazurskie,1199
2022,02,warmińsko-mazurskie,1091
2022,03,warmińsko-mazurskie,961
2022,04,warmińsko-mazurskie,1111
2022,05,warmińsko-mazurskie,1220
2022,06,warmińsko-mazurskie,1275
2022,07,warmińsko-mazurskie,1241
2022,08,warmińsko-mazurskie,1370
2022,09,warmińsko-mazurskie,1161
2022,10,warmińsko-mazurskie,1144
2022,11,warmińsko-mazurskie,1074
2022,12,warmińsko-mazurskie,1300
2022,01,wielkopolskie,2582
2022,02,wielkopolskie,2480
